name,url,price,texture
Ancient Books,https://minecraft-heads.com/custom-heads/decoration/23542-ancient-books,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYzBjZjc0ZTI2MzhiYTVhZDMyMjM3YTM3YjFkNzZhYTEyM2QxODU0NmU3ZWI5YTZiOTk2MWU0YmYxYzNhOTE5In19fQ==
Book (big – black),https://minecraft-heads.com/custom-heads/decoration/37588-book,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMWMxNDZhM2JmODM5NzZkNzk0OTliYWZkYzg3Mzk3ZTAwMmIxYzI5YmU1OWI2MTZlNzY2YjhkMmM1MTJkNGFlZiJ9fX0=
Book with rune,https://minecraft-heads.com/custom-heads/decoration/6326-book,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYTY4M2RhZTZkMTMyZjUyZWZhNTVlOThjMTgxZGVmNTQwMzY3MmZkZWMyY2JjZjQ3OTMxNDJjYjBlNTliZDAifX19
Book with rune 2,https://minecraft-heads.com/custom-heads/decoration/37587-book,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYjFlZDIwNTY3MDY4Y2IwY2MwNzJkNzMyZjUzMjJkNzM0YmY4NDllNjg4YzdmZTAxMWEzMDJlMWI5NDczZDIwYyJ9fX0=
Books (black),https://minecraft-heads.com/custom-heads/decoration/28264-books,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvOWYzN2U3MWZkYzBmYmUzODA4ZDhkZTAwNTllM2Y5YjAzMDUzNDNlNjQ4YjgxZWM4NTY2ZTBjZDE3YTE0N2IxNiJ9fX0=
Books (brown & green),https://minecraft-heads.com/custom-heads/decoration/1161-books,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYTJmZWJhMWYzMDVmOTU4NDc2ZGYxOWNjZDg5Mzc3OGM2ZTM0YWExN2U4ZmZlZGU0MTMzYjNhNWYzNDRmZDhlIn19fQ==
Books (brown 2),https://minecraft-heads.com/custom-heads/decoration/20743-books,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNmVmZTY1MDViYzg0MGFiZmQ4NjY2MjYxMDE3ZWMyMGE2ODQ2ODU2MWJjM2NmMmZhZDYzOWE0ZWM5NDc4OWZhMCJ9fX0=
Books (brown),https://minecraft-heads.com/custom-heads/decoration/20744-books,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvM2U4NTJjMzljMjUyZTczMzM5OGJjOTAzYWViNTE0OTU0ZWRlYTIzMzFlYTVkMTRlOTQyZjY1ZDI1MGZkZWY4YyJ9fX0=
Camera,https://minecraft-heads.com/custom-heads/decoration/38837-camera,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYzdmNzM3YjE2ZjliOGE0Yjg2YjkzOTQyNDRmNGE3OWEyM2ExNzk5NDliY2QzMGQzYTVlOTI1YWFjMzE3ZDgzMSJ9fX0=
Derp Grass Block,https://minecraft-heads.com/custom-heads/humanoid/33959-derp-grass-block,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYTMzODk4ZDAxNDI1MGYyNjRmNjk4NGQxMWJmMTUyZWM0YWY2NDc4Mzg0YWVjOGFlNDY5NjViZDJjNGY2ZjkyOSJ9fX0=
